lf;Category;NCP;Time.Scenario;Method
categories/01-Cur_01-Pot.cro-cat.Mat_Method A.tif;Material;Potential crop (genetic ressources);Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_01-Pot.cro-cat.Mat_Method B.tif;Material;Potential crop (genetic ressources);Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_01-Pot.cro-cat.Mat_Method C.tif;Material;Potential crop (genetic ressources);Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_02-Sol.woo-cat.Mat_Method A.tif;Material;Solid wood;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_02-Sol.woo-cat.Mat_Method B.tif;Material;Solid wood;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_02-Sol.woo-cat.Mat_Method C.tif;Material;Solid wood;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_03-Bur.woo-cat.Mat_Method A.tif;Material;Burned wood;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_03-Bur.woo-cat.Mat_Method B.tif;Material;Burned wood;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_03-Bur.woo-cat.Mat_Method C.tif;Material;Burned wood;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_04-Wil.foo-cat.Mat_Method A.tif;Material;Wild food;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_04-Wil.foo-cat.Mat_Method B.tif;Material;Wild food;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_04-Wil.foo-cat.Mat_Method C.tif;Material;Wild food;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_05-Wil.use-cat.Mat_Method A.tif;Material;Wild use medicinal, dye, fur;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_05-Wil.use-cat.Mat_Method B.tif;Material;Wild use medicinal, dye, fur;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_05-Wil.use-cat.Mat_Method C.tif;Material;Wild use medicinal, dye, fur;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_06-Mel-cat.Mat_Method A.tif;Material;Mellifera (for domestic species);Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_06-Mel-cat.Mat_Method B.tif;Material;Mellifera (for domestic species);Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_06-Mel-cat.Mat_Method C.tif;Material;Mellifera (for domestic species);Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_07-For.pas-cat.Mat_Method A.tif;Material;Forage-pasture;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_07-For.pas-cat.Mat_Method B.tif;Material;Forage-pasture;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_07-For.pas-cat.Mat_Method C.tif;Material;Forage-pasture;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_08-Tot-cat.Mat_Method A.tif;Material;Total material services;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_08-Tot-cat.Mat_Method B.tif;Material;Total material services;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_08-Tot-cat.Mat_Method C.tif;Material;Total material services;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_11-Dec-cat.Reg_Method A.tif;Regulating/maintenance;Decontamination;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_11-Dec-cat.Reg_Method B.tif;Regulating/maintenance;Decontamination;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_11-Dec-cat.Reg_Method C.tif;Regulating/maintenance;Decontamination;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_12-Riv.ero-cat.Reg_Method A.tif;Regulating/maintenance;Riverbank erosion;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_12-Riv.ero-cat.Reg_Method B.tif;Regulating/maintenance;Riverbank erosion;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_12-Riv.ero-cat.Reg_Method C.tif;Regulating/maintenance;Riverbank erosion;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_13-Hed.cro-cat.Reg_Method A.tif;Regulating/maintenance;Hedge for crop yield;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_13-Hed.cro-cat.Reg_Method B.tif;Regulating/maintenance;Hedge for crop yield;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_13-Hed.cro-cat.Reg_Method C.tif;Regulating/maintenance;Hedge for crop yield;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_14-Red.dam-cat.Reg_Method A.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_14-Red.dam-cat.Reg_Method B.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_14-Red.dam-cat.Reg_Method C.tif;Regulating/maintenance;Reduction of species damage and-or disease vector species;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_15-Red.run-cat.Reg_Method A.tif;Regulating/maintenance;Reduce runoff from agroecosystems;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_15-Red.run-cat.Reg_Method B.tif;Regulating/maintenance;Reduce runoff from agroecosystems;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_15-Red.run-cat.Reg_Method C.tif;Regulating/maintenance;Reduce runoff from agroecosystems;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_16-Key.spe-cat.Reg_Method A.tif;Regulating/maintenance;Keystone species;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_16-Key.spe-cat.Reg_Method B.tif;Regulating/maintenance;Keystone species;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_16-Key.spe-cat.Reg_Method C.tif;Regulating/maintenance;Keystone species;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_17-Red.lan-cat.Reg_Method A.tif;Regulating/maintenance;Reduce landslide;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_17-Red.lan-cat.Reg_Method B.tif;Regulating/maintenance;Reduce landslide;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_17-Red.lan-cat.Reg_Method C.tif;Regulating/maintenance;Reduce landslide;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_18-Tot-cat.Reg_Method A.tif;Regulating/maintenance;Total Regulating/maintenance services;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_18-Tot-cat.Reg_Method B.tif;Regulating/maintenance;Total Regulating/maintenance services;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_18-Tot-cat.Reg_Method C.tif;Regulating/maintenance;Total Regulating/maintenance services;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_21-Ico.spe-cat.NonM_Method A.tif;Non-material;Iconic species;Current (1980-2010);Method 'NCP-BIN'
categories/01-Cur_21-Ico.spe-cat.NonM_Method B.tif;Non-material;Iconic species;Current (1980-2010);Method 'NCP-BIN-SP'
categories/01-Cur_21-Ico.spe-cat.NonM_Method C.tif;Non-material;Iconic species;Current (1980-2010);Method 'NCP-HS'
categories/01-Cur_22-Sci.int-cat.NonM_Method A.tif;Non-material;Scientific interest;Current (1980-2010);Method 'NCP-BIN'
